car_park_no,address,car_park_type,type_of_parking_system,night_parking,Latitude,Longitude,,,,,
C35,BLK 704-714 CLEMENTI WEST STREET 2,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.305612326,103.7614365,,,,,
C36,BLK 728/729 CLEMENTI WEST STREET 2,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.305309653,103.7635574,,,,,
C37,BLK 720-727,730-731 CLEMENTI WEST STREET 2,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.303538322,103.7639694,,,,
C38,BLK 715-717 CLEMENTI WEST STREET 2,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.302806616,103.7625275,,,,,
C39,CLEMENTI SPORTS COMPLEX,SURFACE CAR PARKS,COUPON PARKING,NIGHT PARKING,1.310291171,103.7622375,,,,,
C3M,BLK 416A CLEMENTI AVENUE 1,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.309813619,103.770134,,,,,
C3ML,BLK 419, 420 AND 420A CLEMENTI AVENUE 1,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.310392737,103.7690887,,,,
C41,CLEMENTI WOODS,SURFACE CAR PARKS,COUPON PARKING,NIGHT PARKING,1.300118089,103.7685318,,,,,
C4M,BLK 413A COMMONWEALTH AVENUE WEST,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.311480165,103.7705002,,,,,
C5,BLK 358-360,362-363,366-367 CLEMENTI AVENUE 2,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.313102603,103.769577,,,
C6,BLK 328-334 CLEMENTI AVENUE 2,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.314488173,103.7676926,,,,,
C7,BLK 349-355 CLEMENTI AVENUE 2,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.314883828,103.770752,,,,,
C8,BLK 335/338 CLEMENTI AVENUE 2,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.316674709,103.768631,,,,,
C9,BLK 340/342/343/346-348 CLEMENTI AVENUE  5,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.317649245,103.7703094,,,,,
CAM,BLK 88 TANGLIN HALT ROAD,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.301821113,103.7982025,,,,,
CC1,BLK 1/2 CHAI CHEE STREET,SURFACE CAR PARKS,COUPON PARKING,NO,1.326621294,103.9229126,,,,,
CC10,BLK 43/45 CHAI CHEE STREET,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.32868576,103.9255753,,,,,
CC11,BLK 50/54 CHAI CHEE STREET,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.32909584,103.9216309,,,,,
CC12,BLK 11 CHAI CHEE ROAD,BASEMENT CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.326766133,103.9249268,,,,,
CC4,BLK 22/24, 59/63, 803/805 CHAI CHEE ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.325761557,103.9213867,,,
CC5,BLK 27 CHAI CHEE ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.324822426,103.9234009,,,,,
CC6,BLK 25-27 CHAI CHEE ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.323513865,103.9235611,,,,,
CC7,BLK 30/40 CHAI CHEE AVENUE,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.325246215,103.9256897,,,,,
CC8,BLK 55/58 CHAI CHEE DRIVE,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.326895475,103.9194412,,,,,
CC9,BLK 41/42 CHAI CHEE STREET,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.327720165,103.9259949,,,,,
CCKC,BLK 309 CHOA CHU KANG AVENUE 4,BASEMENT CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.385075331,103.7457504,,,,,
CCM,BLK 84A COMMONWEALTH CLOSE,MULTI-STOREY CAR PARKS,COUPON PARKING,NIGHT PARKING,1.30366087,103.7997971,,,,,
CDM,BLK 54 COMMONWEALTH DRIVE,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.301636457,103.7967911,,,,,
CK1,BLK 101/108 TECK WHYE LANE,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.377474308,103.7539673,,,,,
CK10,BLK 227A CHOA CHU KANG CENTRAL,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.380504727,103.7454376,,,,,
CK11,BLK 287A CHOA CHU KANG AVENUE 2,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.378733873,103.7418671,,,,,
CK12,BLK 409/413 CHOA CHU KANG AVENUE 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.381286144,103.7418137,,,,,
CK13,BLK 414-420 CHOA CHU KANG AVENUE 4,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.382916689,103.7420425,,,,,
CK14,BLK 278/287 CHOA CHU KANG AVENUE 2/3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.380147338,103.7425461,,,,,
CK15,BLK 288/295 CHOA CHU KANG AVENUE 2/3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.378426194,103.7409134,,,,,
CK16,BLK 401/408 CHOA CHU KANG AVENUE 3,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.379628897,103.7392197,,,,,
CK17,BLK 421/428 CHOA CHU KANG AVENUE 4,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.382073045,103.7406921,,,,,
CK18,BLK 130/132 CHOA CHU KANG AVENUE 1,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.380998373,103.7506256,,,,,
CK19,BLK 133/134 TECK WHYE LANE,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.380482793,103.7513275,,,,,
CK2,BLK 109/117 TECK WHYE LANE,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.379252791,103.7513733,,,,,
CK20,BLK 429, 438-441 CHOA CHU KANG AVENUE 4,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.383382916,103.7401352,,,,
CK22,BLK 343A CHOA CHU KANG LOOP,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.383843899,103.7459412,,,,,
CK23,BLK 430-437 CHOA CHU KANG AVENUE 4,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.384144306,103.7415085,,,,,
CK24,BLK 350-351 CHOA CHU KANG CENTRAL,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.383326173,103.743309,,,,,
CK25,BLK 352-355 CHOA CHU KANG CENTRAL,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.382290006,103.7437439,,,,,
CK26,BLK 302, 304-308 CHOA CHU KANG LOOP,SURFACE CAR PARKS,COUPON PARKING,NIGHT PARKING,1.384623766,103.7429581,,,,
CK28,BLK 276A CHOA CHU KANG AVENUE 2,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.380084753,103.7441711,,,,,
CK29,BLK 276/277 CHOA CHU KANG AVENUE 2,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.379745722,103.7441101,,,,,
CK3,BLK 118/124 TECK WHYE LANE,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.378605962,103.750061,,,,,
CK30,BLK 248/250 CHOA CHU KANG AVENUE 2,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.379028916,103.7453842,,,,,
CK31,BLK 251A CHOA CHU KANG AVENUE 2,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.378750205,103.7449417,,,,,
CK32,BLK 253A CHOA CHU KANG AVENUE 1,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.377394795,103.7439651,,,,,
CK33,BLK 502A CHOA CHU KANG STREET 51,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.388697743,103.7429504,,,,,
CK34,BLK 511A CHOA CHU KANG STREET 51,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.388577223,103.7410965,,,,,
CK35,BLK 513A CHOA CHU KANG STREET 51,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.390326977,103.7423935,,,,,
CK36,BLK 527A CHOA CHU KANG STREET 51,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.392285943,103.7410889,,,,,
CK37,BLK 552A CHOA CHU KANG STREET 52,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.394052982,103.7422333,,,,,
CK38,BLK 541A CHOA CHU KANG STREET 52,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.393085361,103.7447891,,,,,
CK39,BLK 559A CHOA CHU KANG NORTH 6,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.396147251,103.744278,,,,,
CK3A,BLK 118A TECK WHYE LANE,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.379492521,103.7499771,,,,,
CK4,BLK 135-138,141,142 & 145 TECK WHYE LANE/AVENUE,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.380143762,103.7516632,,,
CK40,BLK 567A CHOA CHU KANG STREET 52,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.395380735,103.7461472,,,,,
CK41,BLK 708A CHOA CHU KANG STREET 53,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.390957475,103.74646,,,,,
CK42,BLK 754A CHOA CHU KANG NORTH 5,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.392769098,103.746727,,,,,
CK44,BLK 762A CHOA CHU KANG NORTH 5,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.392588854,103.7491379,,,,,
CK45,BLK 771A CHOA CHU KANG STREET 54,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.394517899,103.7499695,,,,,
CK46,BLK 792A CHOA CHU KANG NORTH 6,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.395266294,103.7495346,,,,,
CK47,BLK 787A CHOA CHU KANG DRIVE,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.395239472,103.7476959,,,,,
CK48,BLK 604A CHOA CHU KANG STREET 62,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.397402287,103.7451706,,,,,
CK49,BLK 610A CHOA CHU KANG STREET 62,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.398782611,103.7435226,,,,,
CK4A,BLK 144/145 TECK WHYE LANE/AVENUE,SURFACE CAR PARKS,COUPON PARKING,NIGHT PARKING,1.381165147,103.7521973,,,,,
CK5,BLK 139 & 140 TECK WHYE LANE/AVENUE,SURFACE CAR PARKS,COUPON PARKING,NO,1.380179644,103.7527237,,,,,
CK50,BLK 611A CHOA CHU KANG STREET 62,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.400428534,103.7437439,,,,,
CK51,BLK 621A CHOA CHU KANG NORTH 7,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.399644017,103.7475891,,,,,
CK52,BLK 659A/660A/661A CHOA CHU KANG CRESCENT,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.400659084,103.7502365,,,,,
CK53,BLK 668A CHOA CHU KANG CRESCENT,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.401554346,103.7501831,,,,,
CK54,BLK 638-643 CHOA CHU KANG STREET 64,BASEMENT CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.398136854,103.749115,,,,,
CK55,BLK 631-637 & 636A CHOA CHU KANG NORTH 6,COVERED CAR PARK,ELECTRONIC PARKING SYSTEM,NO,1.39711237,103.7485123,,,,,
CK56,BLK 675A CHOA CHU KANG CRESCENT,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.401196003,103.7466736,,,,,
CK57,BLK 669A CHOA CHU KANG CRESCENT,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.402239323,103.7483215,,,,,
CK58,BLK 678A CHOA CHU KANG CRESCENT,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.401880026,103.7448807,,,,,
CK59,BLK 297A CHOA CHU KANG AVENUE 2,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.376811862,103.7420349,,,,,
CK6,BLK 143, 144 & 146 TECK WHYE LANE,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.380732656,103.7531052,,,,
CK60,BLK 683 CHOA CHU KANG CRESCENT,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.404294491,103.7458725,,,,,
CK61,BLK 686 CHOA CHU KANG CRESCENT,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.404089451,103.7489166,,,,,
CK62,BLK 687 CHOA CHU KANG DRIVE,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.403839469,103.7498932,,,,,
CK63,BLK 689 CHOA CHU KANG CRESCENT,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.402863503,103.750885,,,,,
CK64,BLK 692 CHOA CHU KANG CRESCENT,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.399762869,103.7513046,,,,,
CK65,BLK 535,536 AND 537 CHOA CHU KANG STREET 51,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.39201951,103.7440338,,,,
CK66,BLK 573A CHOA CHU KANG STREET 52,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.394020557,103.7455597,,,,,
CK6A,BLK 146A 146A TECK WHYE AVENUE,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.381035447,103.7531357,,,,,
CK7,BLK 135A TECK WHYE LANE,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.380282283,103.7519608,,,,,
CK70,BLK 476 CHOA CHU KANG AVENUE 5,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.376933217,103.7381439,,,,,
CK71,BLK 488 CHOA CHU KANG AVENUE 5,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.376687765,103.738678,,,,,
CK72,BLK 489 CHOA CHU KANG AVENUE 5,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.375558853,103.7409286,,,,,
CK73,BLK 801 KEAT HONG CLOSE,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.375282884,103.7434158,,,,,
CK74,BLK 805 KEAT HONG CLOSE,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.373297215,103.7432404,,,,,
CK75,BLK 809 CHOA CHU KANG AVENUE 1,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.374982476,103.7445374,,,,,
CK76,BLK 810 CHOA CHU KANG AVENUE 7,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.374040484,103.7462082,,,,,
CK77,BLK 815 CHOA CHU KANG AVENUE 7,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.376557231,103.7467117,,,,,
CK78,817 KEAT HONG LINK,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.376987696,103.7493973,,,,,
CK79,BLK 819 KEAT HONG LINK,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.375123739,103.7497101,,,,,
CK8,BLK 201-221 CHOA CHU KANG CENTRAL,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.382086039,103.7471085,,,,,
CK8A,BLK 203A CHOA CHU KANG AVENUE 1/CENTRAL,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.381218553,103.7489777,,,,,
CK9,BLK 223-227 CHOA CHU KANG CENTRAL,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.381495953,103.7449188,,,,,
CK9A,BLK 228-239 CHOA CHU KANG CENTRAL,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.379988551,103.7475052,,,,,
CKK1,BLK 355 CHOA CHU KANG CENTRAL,SURFACE CAR PARKS,COUPON PARKING,NO,1.383499622,103.7441254,,,,,
CKM1,BLK 429A CHOA CHU KANG AVENUE 4,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.383596301,103.7408218,,,,,
CKM2,BLK 625A CHOA CHU KANG STREET 62,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.398384809,103.7467422,,,,,
CKM3,BLK 445A CHOA CHU KANG AVENUE 4,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.381187439,103.7366409,,,,,
CKM4,BLK 474A CHOA CHU KANG AVENUE 3,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.37863791,103.7379303,,,,,
CKM5,BLK 450A CHOA CHU KANG AVENUE 4,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.37931025,103.7356949,,,,,
CKM6,BLK 462A CHOA CHU KANG AVENUE 4,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.377535462,103.7357483,,,,,
CKM7,BLK 483A CHOA CHU KANG AVENUE 5,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.375973582,103.7370682,,,,,
CKM8,BLK 486A CHOA CHU KANG AVENUE 5,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.375049949,103.7383652,,,,,
CKM9,BLK 297B CHOA CHU KANG AVENUE 2,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.377365232,103.7432938,,,,,
CKT1,BLK BETWEEN 404 & 426 CHOA CHU KANG AVENUE 1/4,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.380315065,103.7385864,,,,,
CKT2,BLK 302 CHOA CHU KANG LOOP,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.385613561,103.7433395,,,,,
CLM,BLK 129A CLARENCE LANE,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.292482972,103.8143997,,,,,
CLRG,312 CLEMENTI AVENUE 4,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.319049358,103.7639847,,,,,
CLTR,BLK 311 CLEMENTI AVENUE 4,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.319360018,103.7651291,,,,,
CM1,BLK 10 CANTONMENT CLOSE,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.274458051,103.8392181,,,,,
CR1,BLK 1/3/15/17 BEACH ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.303270817,103.8633041,,,,,
CR1A,BLK 2 BEACH ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.303698301,103.8649597,,,,,
CR1B,BLK 3 BEACH ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.304036021,103.8653564,,,,,
CR2,BLK 3/4 BEACH ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.304683566,103.8656616,,,,,
CR29,BLK 29/30 KELANTAN LANE,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.305783749,103.8567963,,,,,
CR3,BLK 9 NORTH BRIDGE ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.305068612,103.8643265,,,,,
CR30,BLK 639/640 ROWELL COURT,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.307600141,103.8549423,,,,,
CR31,BLK 632/633/635 VEERASAMY ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.306249738,103.8546982,,,,,
CR4,BLK 7 NORTH BRIDGE ROAD,SURFACE CAR PARKS,COUPON PARKING,NO,1.304352045,103.8634338,,,,,
CR5,BLK 18/19 JALAN SULTAN,SURFACE CAR PARKS,COUPON PARKING,NIGHT PARKING,1.303235888,103.862236,,,,,
CR7,BLK 464/463 CRAWFORD LANE,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.305534005,103.8623428,,,,,
CSM,BLK 54 CHIN SWEE ROAD MSCP,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.287438035,103.8411636,,,,,
CTM1,BLK 441 COMMONWEALTH AVENUE WEST,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.314744711,103.7640762,,,,,
CV1,BLK 1/1A TELOK PAKU ROAD,MECHANISED AND SURFACE CAR PARK,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.388329148,103.9881744,,,,,
CV2,BLK 3 CHANGI VILLAGE ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.389902472,103.9879913,,,,,
CV3,BLK 5 CHANGI VILLAGE ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.389983177,103.9864883,,,,,
CV4,BLK 6 CHANGI VILLAGE ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.390171051,103.9884567,,,,,
CVBK,BLK 8C BOON KENG ROAD,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.316516399,103.8610306,,,,,
CY,BLK 269/269A/269B CHENG YAN COURT CAR PARK,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.30062604,103.8536682,,,,,
DRM1,BLK 104C DEPOT ROAD,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.280513167,103.8115463,,,,,
DRM2,BLK 112C DEPOT ROAD,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.281299353,103.8078537,,,,,
DRM3,108A DEPOT ROAD,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.28083837,103.8098679,,,,,
DRM4,BLK 105 DEPOT ROAD,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.280870676,103.8123627,,,,,
DRM5,BLOCK 110 DEPOT ROAD,BASEMENT CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.281331897,103.8094788,,,,,
DRS,BLK 102A/102B DEPOT ROAD,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.280469775,103.8129959,,,,,
DSR1,BLK 31A MARGARET DRIVE,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.298455954,103.8035355,,,,,
DSR2,BLK 37A MARGARET DRIVE,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.297894716,103.8053284,,,,,
DSRL,BLK 38A MARGARET DRIVE,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.297334671,103.8051453,,,,,
DUXM,BLK 1 CANTONMENT ROAD,BASEMENT CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.27697742,103.8410568,,,,,
DWSO,BLK 40 & 41 MARGARET DRIVE,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.296467662,103.8069458,,,,,
DWSP,BLK 95A DAWSON ROAD,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.296073198,103.8119354,,,,,
DWST,BLK 89A DAWSON ROAD,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.295186758,103.8119888,,,,,
DWSV,BLK 85 DAWSON ROAD,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.295306802,103.8096161,,,,,
DWVT,BLK 78A DAWSON ROAD,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.294225454,103.8101425,,,,,
EC2,BLK 12-25 EUNOS CRESCENT,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.322615743,103.9044418,,,,,
EC3,BLK 5-8/11/4A EUNOS CRESCENT,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.32115674,103.9044724,,,,,
EC4,BLK 1-3/1A EUNOS CRESCENT,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.320516467,103.9026947,,,,,
EC5,BLK 9-10 EUNOS CRESCENT,SURFACE CAR PARKS,COUPON PARKING,NO,1.322033525,103.9026642,,,,,
EC7,BLK 842-848 SIMS AVENUE,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.317783713,103.9016266,,,,,
EC7T,BLK 842 TO 848 SIMS AVENUE,SURFACE CAR PARKS,COUPON PARKING,NO,1.318392038,103.9011993,,,,,
EC8,BLK 2A EUNOS MRT SIMS AVENUE,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.319226861,103.9032059,,,,,
ECM,BLK 31A EUNOS CRESCENT,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.320029974,103.9016266,,,,,
